COLUMN:                                    1                             2                3               4          5            6             7                             8                9              10           11           12             13            14             15             16             17            18            19             20            21            22           23             24            25            26           27             28            29            30            31            32               33          34                35              36
DESCRIPTION:                        FILENAME                    EVENT_TIME             EVLO            EVLA    MAG_VAL     MAG_TYPE          EVDP               SEISMOGRAM_TIME             STLO            STLA         STDP         OCDP       1D_GCARC 1D*_GCARC_adj      1D*_GCARC   3D_GCARC_adj       3D_GCARC  OBS_TRAVTIME  OBS_ARVLTIME    1D_TRAVTIME   1D_ARVLTIME       1D_TRES 1D*_TIME_adj   1D*_TRAVTIME  1D*_ARVLTIME      1D*_TRES  3D_TIME_adj    3D_TRAVTIME   3D_ARVLTIME       3D_TRES      2STD_ERR           SNR       MAX_COUNTS    MAX_TIME           NEIC_ID         IRIS_ID
20180808T014200.08_5B736FA6.MER.DET.WLT5.sac        2018-08-08T01:42:10.39        -176.6425        -15.4500        4.9           mb        361820        2018-08-08T01:42:00.57        -171.9964        -12.0744         1531         4794         5.6349             0         5.6349        -0.0109         5.6240         89.29         99.12          87.07         96.89          2.22         1.19          88.25         98.08          1.04         0.40          87.47         97.29          1.82          0.03          1579          3726173        1.30        us1000g55t        10932551
20180812T150956.09_5B77394A.MER.DET.WLT5.sac        2018-08-12T14:58:54.29        -145.2998         69.5619        6.3           ml          2200        2018-08-12T15:09:56.33        -168.4004        -12.0218         1511         4833        83.1668             0        83.1668        -0.1938        82.9730        757.83         95.82         747.54         85.53         10.29         1.35         748.90         86.88          8.93        -0.26         747.28         85.26         10.55          0.11            24            73991        1.15        ak20076877        10934109
20180817T154328.08_5B773B94.MER.DET.WLT5.sac        2018-08-17T15:35:01.87         119.8341         -7.4263        6.5          Mww        529000        2018-08-17T15:43:28.73        -171.8684        -12.2556         1521         4736        67.3087             0        67.3087         0.0133        67.3220        605.03         98.17         602.05         95.19          2.98         1.29         603.34         96.48          1.69         2.20         604.25         97.39          0.78          0.06           121           998737        1.35        us1000gbi4        10936816
20180817T154351.09_5B77394A.MER.DET.WLT5.sac        2018-08-17T15:35:01.87         119.8341         -7.4263        6.5          Mww        529000        2018-08-17T15:43:51.09        -168.3766        -12.0025         1518         4424        70.7316             0        70.7316         0.0134        70.7450        625.03         95.82         622.64         93.42          2.39         1.14         623.78         94.56          1.25         2.28         624.92         95.71          0.11          0.13            20          -434787        1.30        us1000gbi4        10936816
20180817T154404.10_5B773BAD.MER.DET.WLT5.sac        2018-08-17T15:35:01.87         119.8341         -7.4263        6.5          Mww        529000        2018-08-17T15:44:04.08        -165.7501        -14.0145         1500         5533        73.1557             0        73.1557         0.0163        73.1720        639.92         97.71         636.72         94.51          3.20         1.70         638.42         96.21          1.50         2.40         639.12         96.92          0.80          0.07           105          -679406        1.65        us1000gbi4        10936816
20180817T154437.11_5B773B3F.MER.DET.WLT5.sac        2018-08-17T15:35:01.87         119.8341         -7.4263        6.5          Mww        529000        2018-08-17T15:44:37.47        -159.5707        -13.9049         1490         5116        79.1435             0        79.1435         0.0185        79.1620        673.96         98.36         669.71         94.11          4.25         1.51         671.22         95.62          2.74         2.38         672.10         96.50          1.87          0.07            73           935553        0.50        us1000gbi4        10936816
20180817T154459.12_5B773C30.MER.DET.WLT5.sac        2018-08-17T15:35:01.87         119.8341         -7.4263        6.5          Mww        529000        2018-08-17T15:44:59.72        -155.0713        -15.0657         1513         4749        83.3690             0        83.3690         0.0220        83.3910        694.96         97.12         691.45         93.60          3.52         1.31         692.76         94.91          2.20         2.71         694.15         96.31          0.81          0.06           146          -455951        1.20        us1000gbi4        10936816
20180819T002002.08_5B7A4C26.MER.DET.WLT5.sac        2018-08-19T00:19:40.67        -178.1536        -18.1125        8.2          mww        600000        2018-08-19T00:20:02.13        -171.8506        -12.2791         1514         4764         8.4253             0         8.4253        -0.0213         8.4040        120.53         99.07         123.28        101.82         -2.75         1.24         124.52        103.05         -3.99         0.81         124.09        102.62         -3.56          0.01        622351          3023861        1.45        us1000gcii        10937540
20180819T002031.09_5B7ACC72.MER.DET.WLT5.sac        2018-08-19T00:19:40.67        -178.1536        -18.1125        8.2          mww        600000        2018-08-19T00:20:31.59        -168.3892        -11.9945         1534         4275        11.2350             0        11.2350        -0.0160        11.2190        148.64         97.72         150.96        100.04         -2.32         0.98         151.94        101.02         -3.30         1.60         152.55        101.63         -3.92          0.01         28828          -313050        1.50        us1000gcii        10937540
20180819T002046.10_5B7ACDEE.MER.DET.WLT5.sac        2018-08-19T00:19:40.67        -178.1536        -18.1125        8.2          mww        600000        2018-08-19T00:20:46.04        -165.7534        -14.0004         1519         5541        12.6013             0        12.6013        -0.0013        12.6000        163.33         97.96         164.69         99.32         -1.35         1.58         166.27        100.90         -2.94         1.78         166.46        101.09         -3.13          0.01        105441         -1011322        1.75        us1000gcii        10937540
